,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
ontology expansion wrapper w=0.0,0.293,0.039,0.28,0.034,0.262,0.032,0.174,0.018,0.135,0.016,0.131,0.016,0.507,0.009,0.473,0.008,0.411,0.007,0.408,0.007,0.404,0.007,0.387,0.007
ontology expansion wrapper w=0.05,0.323,0.037,0.31,0.034,0.291,0.031,0.187,0.018,0.141,0.016,0.141,0.016,0.555,0.009,0.521,0.008,0.454,0.007,0.451,0.007,0.449,0.007,0.432,0.007
ontology expansion wrapper w=0.1,0.348,0.039,0.316,0.034,0.288,0.031,0.18,0.018,0.136,0.015,0.136,0.015,0.589,0.008,0.551,0.008,0.48,0.007,0.478,0.006,0.478,0.007,0.462,0.007
ontology expansion wrapper w=0.15,0.343,0.038,0.314,0.035,0.281,0.031,0.173,0.017,0.131,0.015,0.13,0.015,0.615,0.008,0.578,0.008,0.501,0.007,0.499,0.006,0.5,0.007,0.485,0.007
ontology expansion wrapper w=0.2,0.338,0.039,0.312,0.034,0.278,0.032,0.168,0.017,0.127,0.015,0.126,0.015,0.638,0.008,0.598,0.007,0.518,0.007,0.516,0.006,0.518,0.007,0.504,0.007
ontology expansion wrapper w=0.25,0.336,0.039,0.313,0.035,0.275,0.032,0.164,0.017,0.126,0.015,0.124,0.015,0.658,0.008,0.616,0.007,0.531,0.007,0.53,0.006,0.533,0.006,0.519,0.007
ontology expansion wrapper w=0.3,0.332,0.04,0.307,0.034,0.27,0.032,0.162,0.018,0.124,0.015,0.122,0.015,0.675,0.008,0.63,0.007,0.541,0.007,0.539,0.006,0.544,0.006,0.53,0.007
ontology expansion wrapper w=0.35,0.332,0.04,0.299,0.035,0.264,0.032,0.158,0.017,0.121,0.014,0.119,0.015,0.687,0.008,0.64,0.007,0.549,0.007,0.546,0.006,0.552,0.006,0.538,0.007
ontology expansion wrapper w=0.4,0.332,0.04,0.296,0.035,0.26,0.031,0.156,0.017,0.12,0.014,0.117,0.015,0.696,0.008,0.649,0.007,0.555,0.007,0.551,0.006,0.559,0.006,0.544,0.007
ontology expansion wrapper w=0.45,0.335,0.04,0.294,0.035,0.257,0.032,0.154,0.017,0.119,0.014,0.115,0.015,0.706,0.008,0.656,0.007,0.561,0.007,0.555,0.006,0.564,0.006,0.549,0.007
ontology expansion wrapper w=0.5,0.34,0.041,0.292,0.035,0.253,0.032,0.153,0.017,0.118,0.014,0.114,0.015,0.712,0.008,0.663,0.007,0.566,0.007,0.559,0.006,0.568,0.006,0.553,0.007
ontology expansion wrapper w=0.55,0.332,0.04,0.29,0.035,0.252,0.031,0.149,0.017,0.117,0.014,0.112,0.014,0.717,0.007,0.668,0.007,0.568,0.007,0.561,0.006,0.571,0.006,0.556,0.007
ontology expansion wrapper w=0.6,0.331,0.04,0.29,0.035,0.25,0.031,0.148,0.017,0.116,0.014,0.111,0.014,0.721,0.007,0.671,0.007,0.569,0.007,0.562,0.006,0.573,0.006,0.557,0.007
ontology expansion wrapper w=0.65,0.332,0.04,0.288,0.035,0.249,0.031,0.146,0.017,0.114,0.014,0.109,0.014,0.725,0.007,0.673,0.007,0.57,0.007,0.562,0.006,0.574,0.006,0.558,0.007
ontology expansion wrapper w=0.7,0.33,0.04,0.285,0.035,0.248,0.031,0.145,0.017,0.114,0.014,0.108,0.014,0.729,0.007,0.675,0.007,0.571,0.007,0.562,0.006,0.574,0.006,0.558,0.007
ontology expansion wrapper w=0.75,0.329,0.04,0.282,0.035,0.245,0.031,0.143,0.017,0.113,0.014,0.107,0.014,0.731,0.007,0.676,0.007,0.572,0.007,0.561,0.006,0.574,0.006,0.557,0.007
ontology expansion wrapper w=0.8,0.327,0.04,0.281,0.035,0.242,0.031,0.143,0.017,0.112,0.014,0.107,0.014,0.732,0.008,0.677,0.007,0.572,0.007,0.56,0.006,0.574,0.006,0.557,0.007
ontology expansion wrapper w=0.85,0.326,0.04,0.279,0.035,0.243,0.031,0.142,0.017,0.112,0.014,0.106,0.014,0.734,0.008,0.677,0.007,0.572,0.007,0.56,0.006,0.574,0.006,0.556,0.007
ontology expansion wrapper w=0.9,0.322,0.04,0.277,0.035,0.242,0.031,0.141,0.017,0.111,0.014,0.105,0.014,0.734,0.008,0.678,0.007,0.571,0.007,0.559,0.006,0.573,0.006,0.555,0.007
ontology expansion wrapper w=0.95,0.323,0.04,0.276,0.035,0.243,0.031,0.141,0.017,0.111,0.014,0.105,0.014,0.733,0.008,0.677,0.007,0.571,0.007,0.557,0.006,0.572,0.006,0.554,0.007
ontology expansion wrapper w=1.0,0.305,0.041,0.256,0.035,0.215,0.031,0.08,0.013,0.05,0.008,0.061,0.01,0.731,0.008,0.675,0.007,0.567,0.007,0.551,0.006,0.562,0.007,0.547,0.007
