,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
ontology expansion wrapper w=0.0,0.33,0.039,0.318,0.035,0.299,0.033,0.183,0.017,0.136,0.015,0.138,0.015,0.521,0.009,0.487,0.008,0.422,0.007,0.417,0.007,0.413,0.007,0.397,0.007
ontology expansion wrapper w=0.05,0.346,0.038,0.334,0.034,0.311,0.033,0.192,0.017,0.139,0.015,0.143,0.015,0.565,0.009,0.53,0.008,0.459,0.007,0.454,0.007,0.453,0.007,0.437,0.007
ontology expansion wrapper w=0.1,0.34,0.038,0.333,0.035,0.301,0.032,0.184,0.017,0.134,0.015,0.138,0.015,0.594,0.008,0.557,0.008,0.484,0.007,0.479,0.006,0.479,0.007,0.464,0.007
ontology expansion wrapper w=0.15,0.346,0.038,0.321,0.036,0.293,0.032,0.178,0.017,0.128,0.014,0.131,0.014,0.619,0.008,0.582,0.008,0.503,0.007,0.499,0.006,0.501,0.007,0.486,0.007
ontology expansion wrapper w=0.2,0.346,0.039,0.326,0.036,0.288,0.032,0.17,0.017,0.124,0.014,0.127,0.014,0.64,0.008,0.601,0.007,0.519,0.007,0.515,0.006,0.518,0.007,0.503,0.007
ontology expansion wrapper w=0.25,0.345,0.04,0.321,0.036,0.282,0.033,0.166,0.017,0.121,0.014,0.124,0.014,0.66,0.008,0.617,0.007,0.533,0.007,0.528,0.006,0.532,0.006,0.518,0.007
ontology expansion wrapper w=0.3,0.349,0.04,0.313,0.036,0.279,0.033,0.163,0.017,0.119,0.014,0.122,0.014,0.676,0.008,0.631,0.007,0.543,0.007,0.538,0.006,0.544,0.006,0.529,0.007
ontology expansion wrapper w=0.35,0.347,0.04,0.305,0.036,0.273,0.033,0.161,0.017,0.118,0.014,0.12,0.015,0.688,0.008,0.641,0.007,0.551,0.007,0.545,0.006,0.552,0.006,0.538,0.007
ontology expansion wrapper w=0.4,0.342,0.04,0.307,0.036,0.27,0.033,0.159,0.017,0.116,0.014,0.117,0.014,0.698,0.008,0.65,0.007,0.557,0.006,0.551,0.006,0.559,0.006,0.544,0.007
ontology expansion wrapper w=0.45,0.339,0.04,0.304,0.036,0.263,0.033,0.157,0.017,0.115,0.014,0.116,0.014,0.707,0.008,0.658,0.007,0.562,0.006,0.555,0.006,0.564,0.006,0.549,0.007
ontology expansion wrapper w=0.5,0.338,0.041,0.3,0.036,0.261,0.033,0.155,0.017,0.114,0.014,0.115,0.014,0.714,0.007,0.664,0.007,0.567,0.006,0.559,0.006,0.569,0.006,0.554,0.007
ontology expansion wrapper w=0.55,0.332,0.04,0.298,0.036,0.258,0.032,0.151,0.017,0.113,0.014,0.112,0.014,0.719,0.007,0.669,0.007,0.57,0.006,0.562,0.006,0.572,0.006,0.557,0.007
ontology expansion wrapper w=0.6,0.333,0.04,0.295,0.036,0.257,0.032,0.15,0.017,0.111,0.013,0.111,0.014,0.723,0.007,0.672,0.007,0.571,0.007,0.562,0.006,0.574,0.006,0.558,0.007
ontology expansion wrapper w=0.65,0.337,0.041,0.291,0.035,0.255,0.032,0.149,0.017,0.11,0.013,0.11,0.014,0.726,0.007,0.674,0.007,0.572,0.007,0.562,0.006,0.575,0.006,0.558,0.007
ontology expansion wrapper w=0.7,0.336,0.041,0.29,0.035,0.253,0.032,0.147,0.017,0.11,0.013,0.109,0.014,0.729,0.007,0.676,0.007,0.573,0.007,0.562,0.006,0.575,0.006,0.559,0.007
ontology expansion wrapper w=0.75,0.336,0.041,0.287,0.035,0.25,0.032,0.146,0.017,0.109,0.013,0.108,0.014,0.731,0.007,0.677,0.007,0.573,0.007,0.562,0.006,0.575,0.006,0.558,0.007
ontology expansion wrapper w=0.8,0.333,0.041,0.282,0.035,0.249,0.031,0.145,0.017,0.108,0.013,0.107,0.014,0.733,0.008,0.678,0.007,0.573,0.007,0.561,0.006,0.575,0.006,0.558,0.007
ontology expansion wrapper w=0.85,0.331,0.04,0.277,0.034,0.246,0.031,0.144,0.017,0.108,0.013,0.106,0.014,0.734,0.008,0.678,0.007,0.572,0.007,0.56,0.006,0.575,0.006,0.557,0.007
ontology expansion wrapper w=0.9,0.328,0.04,0.276,0.034,0.245,0.031,0.143,0.017,0.107,0.013,0.106,0.014,0.734,0.008,0.678,0.007,0.572,0.007,0.559,0.006,0.574,0.006,0.556,0.007
ontology expansion wrapper w=0.95,0.324,0.04,0.277,0.034,0.245,0.031,0.143,0.017,0.106,0.013,0.105,0.014,0.734,0.008,0.678,0.007,0.571,0.007,0.558,0.006,0.572,0.006,0.555,0.007
ontology expansion wrapper w=1.0,0.306,0.04,0.257,0.034,0.216,0.031,0.082,0.013,0.051,0.008,0.062,0.01,0.731,0.008,0.675,0.007,0.567,0.007,0.551,0.006,0.562,0.007,0.547,0.007
