,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
ontology expansion wrapper w=0.0,0.33,0.039,0.318,0.035,0.299,0.033,0.183,0.017,0.136,0.015,0.138,0.015,0.521,0.009,0.487,0.008,0.422,0.007,0.417,0.007,0.413,0.007,0.397,0.007
ontology expansion wrapper w=0.05,0.33,0.039,0.318,0.035,0.301,0.033,0.184,0.017,0.137,0.015,0.139,0.015,0.536,0.009,0.501,0.008,0.435,0.007,0.43,0.007,0.426,0.007,0.41,0.007
ontology expansion wrapper w=0.1,0.328,0.038,0.319,0.035,0.302,0.033,0.184,0.017,0.137,0.015,0.139,0.015,0.543,0.009,0.509,0.008,0.441,0.007,0.437,0.007,0.433,0.007,0.417,0.007
ontology expansion wrapper w=0.15,0.329,0.038,0.319,0.035,0.302,0.033,0.184,0.017,0.137,0.015,0.139,0.015,0.551,0.008,0.516,0.008,0.448,0.007,0.443,0.006,0.44,0.007,0.424,0.007
ontology expansion wrapper w=0.2,0.332,0.038,0.319,0.035,0.303,0.033,0.185,0.017,0.137,0.015,0.14,0.015,0.559,0.008,0.525,0.008,0.456,0.007,0.451,0.006,0.448,0.007,0.432,0.007
ontology expansion wrapper w=0.25,0.332,0.038,0.322,0.035,0.303,0.033,0.186,0.017,0.138,0.015,0.14,0.015,0.569,0.008,0.535,0.008,0.464,0.007,0.46,0.006,0.457,0.007,0.44,0.007
ontology expansion wrapper w=0.3,0.331,0.038,0.325,0.035,0.303,0.033,0.186,0.017,0.138,0.015,0.14,0.015,0.581,0.008,0.545,0.007,0.474,0.007,0.469,0.006,0.467,0.007,0.451,0.007
ontology expansion wrapper w=0.35,0.332,0.038,0.326,0.034,0.305,0.033,0.187,0.017,0.138,0.015,0.141,0.015,0.593,0.008,0.555,0.007,0.483,0.006,0.479,0.006,0.477,0.007,0.461,0.007
ontology expansion wrapper w=0.4,0.335,0.038,0.328,0.035,0.305,0.033,0.188,0.017,0.139,0.015,0.141,0.015,0.605,0.008,0.567,0.007,0.492,0.006,0.489,0.006,0.488,0.006,0.471,0.007
ontology expansion wrapper w=0.45,0.335,0.038,0.33,0.035,0.306,0.033,0.189,0.017,0.139,0.015,0.142,0.015,0.619,0.008,0.579,0.007,0.501,0.006,0.499,0.006,0.499,0.006,0.482,0.007
ontology expansion wrapper w=0.5,0.337,0.037,0.33,0.035,0.306,0.033,0.189,0.017,0.14,0.015,0.143,0.015,0.632,0.008,0.593,0.007,0.512,0.006,0.51,0.006,0.51,0.006,0.494,0.007
ontology expansion wrapper w=0.55,0.337,0.037,0.33,0.035,0.304,0.032,0.189,0.017,0.139,0.015,0.143,0.015,0.648,0.008,0.605,0.007,0.521,0.006,0.52,0.006,0.521,0.006,0.506,0.007
ontology expansion wrapper w=0.6,0.336,0.037,0.332,0.035,0.304,0.032,0.19,0.017,0.14,0.015,0.143,0.015,0.661,0.008,0.616,0.007,0.53,0.006,0.529,0.006,0.531,0.006,0.516,0.007
ontology expansion wrapper w=0.65,0.339,0.037,0.332,0.035,0.305,0.032,0.189,0.017,0.14,0.015,0.144,0.015,0.673,0.008,0.627,0.007,0.538,0.006,0.536,0.006,0.54,0.006,0.525,0.007
ontology expansion wrapper w=0.7,0.345,0.038,0.332,0.034,0.305,0.032,0.19,0.017,0.141,0.015,0.144,0.015,0.684,0.008,0.637,0.007,0.545,0.006,0.544,0.006,0.549,0.006,0.534,0.007
ontology expansion wrapper w=0.75,0.339,0.037,0.333,0.035,0.308,0.033,0.191,0.017,0.14,0.015,0.144,0.015,0.694,0.007,0.645,0.007,0.552,0.006,0.55,0.006,0.556,0.006,0.541,0.007
ontology expansion wrapper w=0.8,0.342,0.038,0.334,0.034,0.31,0.033,0.191,0.017,0.14,0.015,0.144,0.015,0.703,0.007,0.653,0.007,0.558,0.006,0.555,0.006,0.563,0.006,0.548,0.007
ontology expansion wrapper w=0.85,0.339,0.038,0.335,0.035,0.31,0.033,0.192,0.018,0.139,0.015,0.143,0.015,0.711,0.007,0.66,0.007,0.563,0.006,0.559,0.006,0.568,0.006,0.553,0.007
ontology expansion wrapper w=0.9,0.339,0.039,0.327,0.035,0.301,0.032,0.188,0.017,0.136,0.015,0.14,0.015,0.72,0.007,0.668,0.007,0.567,0.006,0.562,0.006,0.573,0.006,0.557,0.007
ontology expansion wrapper w=0.95,0.338,0.039,0.312,0.036,0.281,0.033,0.171,0.017,0.124,0.014,0.127,0.014,0.727,0.007,0.674,0.007,0.571,0.007,0.563,0.006,0.576,0.006,0.56,0.007
ontology expansion wrapper w=1.0,0.306,0.04,0.257,0.034,0.216,0.031,0.082,0.013,0.051,0.008,0.062,0.01,0.731,0.008,0.675,0.007,0.567,0.007,0.551,0.006,0.562,0.007,0.547,0.007
