,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
prf nrd=150.00 net=200.00 ew=0.00,0.21,0.039,0.203,0.035,0.194,0.033,0.115,0.017,0.087,0.015,0.085,0.015,0.441,0.009,0.412,0.008,0.368,0.007,0.343,0.006,0.346,0.007,0.315,0.007
prf nrd=150.00 net=200.00 ew=0.05,0.253,0.04,0.236,0.036,0.214,0.033,0.119,0.017,0.089,0.015,0.089,0.015,0.584,0.009,0.541,0.008,0.469,0.007,0.453,0.006,0.463,0.007,0.436,0.007
prf nrd=150.00 net=200.00 ew=0.10,0.275,0.04,0.247,0.036,0.219,0.033,0.12,0.017,0.09,0.014,0.09,0.014,0.641,0.009,0.598,0.008,0.512,0.007,0.503,0.006,0.512,0.007,0.491,0.007
prf nrd=150.00 net=200.00 ew=0.15,0.296,0.04,0.256,0.036,0.222,0.033,0.123,0.017,0.091,0.014,0.092,0.014,0.665,0.008,0.62,0.008,0.53,0.007,0.522,0.006,0.531,0.007,0.513,0.007
prf nrd=150.00 net=200.00 ew=0.20,0.302,0.041,0.258,0.035,0.223,0.032,0.123,0.017,0.091,0.014,0.092,0.014,0.678,0.008,0.632,0.008,0.54,0.007,0.532,0.006,0.542,0.007,0.524,0.007
prf nrd=150.00 net=200.00 ew=0.25,0.305,0.041,0.263,0.035,0.225,0.032,0.123,0.017,0.091,0.014,0.092,0.014,0.688,0.008,0.641,0.008,0.546,0.007,0.538,0.006,0.549,0.007,0.531,0.007
prf nrd=150.00 net=200.00 ew=0.30,0.308,0.041,0.266,0.035,0.227,0.032,0.122,0.017,0.091,0.014,0.092,0.014,0.696,0.008,0.647,0.008,0.551,0.007,0.542,0.006,0.554,0.007,0.536,0.007
prf nrd=150.00 net=200.00 ew=0.35,0.311,0.041,0.266,0.035,0.226,0.032,0.124,0.017,0.091,0.014,0.093,0.014,0.701,0.008,0.652,0.007,0.554,0.007,0.545,0.006,0.558,0.007,0.54,0.007
