,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
ensemble weight=0.002,0.464,0.042,0.437,0.039,0.399,0.037,0.262,0.022,0.232,0.022,0.217,0.021,0.49,0.008,0.427,0.007,0.351,0.006,0.306,0.005,0.288,0.005,0.27,0.005
ensemble weight=0.004,0.443,0.041,0.417,0.038,0.386,0.036,0.254,0.021,0.221,0.021,0.207,0.02,0.556,0.008,0.489,0.007,0.405,0.007,0.363,0.005,0.352,0.006,0.33,0.006
ensemble weight=0.006,0.428,0.041,0.404,0.038,0.374,0.036,0.248,0.021,0.212,0.02,0.201,0.02,0.602,0.008,0.534,0.007,0.441,0.006,0.405,0.005,0.399,0.006,0.375,0.006
ensemble weight=0.008,0.418,0.041,0.39,0.037,0.362,0.035,0.243,0.021,0.206,0.02,0.195,0.019,0.633,0.008,0.565,0.007,0.47,0.006,0.437,0.005,0.436,0.006,0.41,0.006
ensemble weight=0.01,0.402,0.04,0.378,0.036,0.356,0.035,0.237,0.02,0.199,0.019,0.19,0.019,0.654,0.008,0.589,0.007,0.491,0.006,0.463,0.005,0.464,0.006,0.439,0.006
ensemble weight=0.02,0.369,0.039,0.363,0.035,0.339,0.034,0.223,0.02,0.181,0.018,0.174,0.018,0.695,0.007,0.638,0.007,0.54,0.006,0.524,0.006,0.533,0.006,0.511,0.006
ensemble weight=0.04,0.357,0.038,0.35,0.035,0.323,0.033,0.208,0.019,0.166,0.017,0.161,0.017,0.698,0.007,0.649,0.007,0.554,0.006,0.547,0.006,0.556,0.006,0.537,0.006
ensemble weight=0.06,0.354,0.038,0.347,0.035,0.318,0.033,0.204,0.019,0.159,0.017,0.157,0.016,0.696,0.007,0.648,0.007,0.554,0.006,0.55,0.006,0.558,0.006,0.54,0.007
ensemble weight=0.08,0.347,0.038,0.345,0.035,0.315,0.033,0.201,0.018,0.155,0.017,0.154,0.016,0.695,0.007,0.646,0.007,0.554,0.006,0.549,0.006,0.558,0.006,0.54,0.007
ensemble weight=0.1,0.347,0.038,0.342,0.035,0.312,0.033,0.199,0.018,0.153,0.016,0.152,0.016,0.693,0.007,0.646,0.007,0.553,0.006,0.549,0.006,0.557,0.006,0.54,0.007
ensemble weight=0.15,0.345,0.038,0.337,0.035,0.311,0.033,0.196,0.018,0.149,0.016,0.149,0.016,0.691,0.007,0.644,0.007,0.551,0.006,0.548,0.006,0.555,0.006,0.539,0.007
ensemble weight=0.2,0.343,0.038,0.335,0.035,0.31,0.033,0.194,0.018,0.148,0.016,0.147,0.015,0.69,0.007,0.642,0.007,0.55,0.006,0.548,0.006,0.554,0.006,0.538,0.007
ensemble weight=0.25,0.344,0.038,0.335,0.035,0.309,0.033,0.193,0.018,0.147,0.016,0.146,0.015,0.688,0.007,0.641,0.007,0.549,0.006,0.547,0.006,0.553,0.006,0.537,0.007
ensemble weight=0.3,0.342,0.038,0.335,0.035,0.309,0.033,0.192,0.018,0.146,0.016,0.146,0.015,0.688,0.007,0.641,0.007,0.548,0.006,0.547,0.006,0.552,0.006,0.537,0.007
ensemble weight=0.35,0.342,0.038,0.334,0.035,0.308,0.033,0.192,0.018,0.145,0.016,0.145,0.015,0.687,0.007,0.64,0.007,0.548,0.006,0.546,0.006,0.552,0.006,0.536,0.007
ensemble weight=0.4,0.342,0.038,0.335,0.035,0.307,0.033,0.191,0.017,0.145,0.016,0.145,0.015,0.687,0.007,0.64,0.007,0.547,0.006,0.546,0.006,0.551,0.006,0.536,0.007
ensemble weight=0.45,0.342,0.038,0.335,0.035,0.307,0.033,0.192,0.018,0.145,0.016,0.145,0.015,0.686,0.007,0.639,0.007,0.547,0.006,0.545,0.006,0.551,0.006,0.535,0.007
ensemble weight=0.5,0.342,0.037,0.335,0.035,0.307,0.033,0.192,0.017,0.144,0.016,0.145,0.015,0.686,0.007,0.639,0.007,0.547,0.006,0.545,0.006,0.551,0.006,0.535,0.007
