,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
ensemble weight=0.002,0.475,0.043,0.438,0.039,0.404,0.038,0.266,0.022,0.234,0.022,0.219,0.021,0.485,0.008,0.419,0.007,0.341,0.006,0.293,0.005,0.273,0.005,0.255,0.005
ensemble weight=0.004,0.471,0.043,0.44,0.039,0.401,0.037,0.267,0.022,0.232,0.022,0.218,0.021,0.561,0.008,0.491,0.007,0.4,0.007,0.353,0.005,0.34,0.006,0.319,0.005
ensemble weight=0.006,0.456,0.043,0.433,0.039,0.391,0.036,0.264,0.022,0.229,0.022,0.216,0.021,0.618,0.008,0.544,0.007,0.445,0.007,0.402,0.005,0.396,0.006,0.371,0.006
ensemble weight=0.008,0.452,0.043,0.429,0.039,0.385,0.036,0.257,0.021,0.222,0.021,0.209,0.02,0.657,0.008,0.584,0.007,0.48,0.006,0.441,0.005,0.44,0.006,0.415,0.006
ensemble weight=0.01,0.444,0.043,0.419,0.039,0.379,0.036,0.255,0.022,0.218,0.021,0.207,0.02,0.685,0.008,0.613,0.007,0.507,0.006,0.471,0.005,0.476,0.006,0.45,0.006
ensemble weight=0.02,0.418,0.042,0.39,0.038,0.355,0.034,0.241,0.021,0.202,0.02,0.194,0.019,0.731,0.007,0.671,0.007,0.564,0.006,0.546,0.006,0.559,0.006,0.537,0.006
ensemble weight=0.04,0.383,0.04,0.364,0.036,0.333,0.033,0.226,0.02,0.183,0.019,0.177,0.018,0.737,0.007,0.682,0.007,0.578,0.006,0.569,0.006,0.583,0.006,0.564,0.007
ensemble weight=0.06,0.368,0.04,0.355,0.036,0.324,0.033,0.217,0.019,0.172,0.018,0.168,0.018,0.735,0.007,0.682,0.007,0.578,0.006,0.571,0.006,0.585,0.006,0.567,0.007
ensemble weight=0.08,0.364,0.04,0.349,0.036,0.321,0.033,0.21,0.019,0.166,0.018,0.162,0.017,0.733,0.007,0.68,0.007,0.577,0.006,0.57,0.006,0.585,0.006,0.567,0.007
ensemble weight=0.1,0.359,0.04,0.343,0.036,0.316,0.032,0.207,0.019,0.161,0.017,0.159,0.017,0.732,0.007,0.679,0.007,0.576,0.006,0.57,0.006,0.584,0.006,0.566,0.007
ensemble weight=0.15,0.351,0.04,0.336,0.036,0.31,0.032,0.2,0.018,0.154,0.017,0.152,0.016,0.729,0.007,0.676,0.007,0.574,0.006,0.568,0.006,0.582,0.006,0.564,0.007
ensemble weight=0.2,0.352,0.039,0.334,0.036,0.308,0.032,0.197,0.018,0.15,0.016,0.149,0.016,0.726,0.007,0.674,0.007,0.572,0.006,0.567,0.006,0.58,0.006,0.563,0.007
ensemble weight=0.25,0.347,0.039,0.332,0.035,0.306,0.032,0.195,0.018,0.148,0.016,0.147,0.016,0.725,0.007,0.673,0.007,0.571,0.006,0.566,0.006,0.579,0.006,0.562,0.007
ensemble weight=0.3,0.344,0.039,0.33,0.035,0.305,0.032,0.194,0.018,0.146,0.016,0.146,0.016,0.724,0.007,0.672,0.007,0.57,0.006,0.566,0.006,0.578,0.006,0.561,0.007
ensemble weight=0.35,0.344,0.039,0.328,0.035,0.304,0.032,0.192,0.018,0.144,0.016,0.144,0.016,0.724,0.007,0.671,0.007,0.57,0.006,0.565,0.006,0.577,0.006,0.56,0.007
ensemble weight=0.4,0.343,0.039,0.328,0.035,0.304,0.032,0.191,0.018,0.143,0.016,0.144,0.015,0.723,0.007,0.67,0.007,0.569,0.006,0.565,0.006,0.576,0.006,0.56,0.007
ensemble weight=0.45,0.342,0.039,0.328,0.035,0.303,0.032,0.19,0.018,0.142,0.016,0.143,0.015,0.723,0.007,0.67,0.007,0.569,0.006,0.564,0.006,0.576,0.006,0.559,0.007
ensemble weight=0.5,0.342,0.039,0.328,0.035,0.303,0.032,0.19,0.018,0.142,0.016,0.142,0.015,0.722,0.007,0.669,0.007,0.569,0.006,0.564,0.006,0.575,0.006,0.559,0.007
