,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
prf nrd=150.00 net=200.00 ew=0.00,0.233,0.043,0.228,0.04,0.22,0.038,0.133,0.021,0.113,0.02,0.104,0.019,0.23,0.007,0.206,0.006,0.18,0.006,0.143,0.004,0.121,0.004,0.112,0.004
prf nrd=150.00 net=200.00 ew=0.10,0.248,0.043,0.239,0.041,0.224,0.038,0.137,0.021,0.117,0.02,0.109,0.019,0.283,0.008,0.249,0.007,0.211,0.006,0.17,0.004,0.148,0.004,0.137,0.004
prf nrd=150.00 net=200.00 ew=0.20,0.264,0.044,0.244,0.04,0.229,0.038,0.143,0.021,0.121,0.02,0.113,0.019,0.34,0.008,0.294,0.007,0.243,0.006,0.199,0.005,0.178,0.005,0.166,0.004
prf nrd=150.00 net=200.00 ew=0.30,0.278,0.043,0.253,0.04,0.239,0.038,0.147,0.022,0.126,0.021,0.117,0.02,0.39,0.009,0.335,0.008,0.272,0.006,0.226,0.005,0.208,0.005,0.194,0.005
prf nrd=150.00 net=200.00 ew=0.40,0.282,0.043,0.261,0.04,0.245,0.038,0.153,0.022,0.13,0.021,0.122,0.02,0.431,0.009,0.37,0.008,0.3,0.007,0.252,0.005,0.235,0.005,0.22,0.005
prf nrd=150.00 net=200.00 ew=0.50,0.287,0.043,0.268,0.04,0.25,0.037,0.158,0.022,0.134,0.021,0.127,0.02,0.464,0.009,0.399,0.008,0.323,0.007,0.275,0.005,0.26,0.006,0.243,0.005
prf nrd=150.00 net=200.00 ew=0.60,0.299,0.045,0.27,0.04,0.255,0.037,0.162,0.022,0.138,0.021,0.13,0.02,0.487,0.009,0.422,0.008,0.342,0.007,0.295,0.005,0.281,0.006,0.263,0.005
prf nrd=150.00 net=200.00 ew=0.70,0.301,0.044,0.28,0.04,0.258,0.037,0.165,0.022,0.14,0.021,0.132,0.02,0.501,0.009,0.44,0.008,0.357,0.007,0.312,0.005,0.299,0.006,0.279,0.006
prf nrd=150.00 net=200.00 ew=0.80,0.296,0.044,0.278,0.039,0.258,0.036,0.168,0.022,0.142,0.02,0.134,0.02,0.513,0.009,0.451,0.008,0.37,0.007,0.324,0.006,0.313,0.006,0.292,0.006
prf nrd=150.00 net=200.00 ew=0.90,0.301,0.043,0.284,0.039,0.26,0.035,0.169,0.021,0.142,0.02,0.134,0.019,0.52,0.009,0.458,0.008,0.379,0.007,0.335,0.006,0.324,0.006,0.302,0.006
prf nrd=150.00 net=200.00 ew=1.00,0.303,0.043,0.28,0.039,0.26,0.034,0.168,0.021,0.141,0.019,0.133,0.019,0.523,0.009,0.464,0.008,0.386,0.007,0.342,0.006,0.332,0.006,0.308,0.006
