,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
Fasttext from scratch s=100,0.275,0.041,0.267,0.039,0.251,0.037,0.161,0.022,0.138,0.021,0.128,0.02,0.308,0.008,0.262,0.006,0.213,0.005,0.179,0.004,0.151,0.004,0.143,0.004
Fasttext from scratch s=200,0.292,0.043,0.277,0.039,0.257,0.036,0.169,0.022,0.143,0.021,0.135,0.02,0.387,0.008,0.331,0.007,0.267,0.006,0.226,0.004,0.2,0.005,0.188,0.004
Fasttext from scratch s=300,0.302,0.042,0.282,0.038,0.266,0.036,0.174,0.022,0.146,0.021,0.139,0.021,0.424,0.008,0.363,0.007,0.295,0.006,0.25,0.005,0.227,0.005,0.212,0.005
Fasttext from scratch s=400,0.303,0.043,0.277,0.038,0.261,0.035,0.172,0.022,0.145,0.021,0.137,0.021,0.443,0.009,0.382,0.007,0.311,0.006,0.265,0.005,0.243,0.005,0.227,0.005
Fasttext from scratch s=500,0.321,0.044,0.28,0.039,0.262,0.035,0.174,0.022,0.146,0.021,0.139,0.02,0.456,0.009,0.395,0.007,0.323,0.006,0.276,0.005,0.255,0.005,0.238,0.005
Fasttext from scratch s=600,0.313,0.044,0.283,0.039,0.261,0.035,0.175,0.022,0.147,0.021,0.139,0.02,0.464,0.009,0.404,0.008,0.33,0.006,0.282,0.005,0.264,0.005,0.246,0.005
Fasttext from scratch s=700,0.311,0.044,0.279,0.039,0.263,0.035,0.175,0.022,0.147,0.021,0.14,0.021,0.472,0.009,0.409,0.008,0.335,0.007,0.288,0.005,0.27,0.005,0.251,0.005
Fasttext from scratch s=800,0.308,0.043,0.284,0.039,0.259,0.035,0.174,0.022,0.145,0.021,0.138,0.02,0.475,0.009,0.414,0.008,0.339,0.007,0.292,0.005,0.276,0.005,0.256,0.005
Fasttext from scratch s=900,0.308,0.044,0.283,0.039,0.263,0.035,0.175,0.022,0.145,0.021,0.138,0.02,0.479,0.009,0.416,0.008,0.342,0.007,0.296,0.005,0.28,0.006,0.259,0.005
Fasttext from scratch s=1000,0.303,0.044,0.287,0.039,0.257,0.035,0.174,0.022,0.144,0.021,0.137,0.02,0.48,0.009,0.419,0.008,0.345,0.007,0.299,0.005,0.283,0.006,0.262,0.005
