,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
Fasttext from scratch w=2,0.293,0.043,0.264,0.038,0.24,0.035,0.153,0.021,0.127,0.019,0.11900000000000001,0.018000000000000002,0.409,0.008,0.35,0.006999999999999999,0.287,0.006,0.239,0.004,0.214,0.005,0.201,0.004
Fasttext from scratch w=4,0.298,0.045,0.272,0.039,0.24600000000000002,0.035,0.161,0.022000000000000002,0.135,0.02,0.127,0.019,0.42200000000000004,0.008,0.363,0.006999999999999999,0.295,0.006,0.249,0.005,0.225,0.005,0.21100000000000002,0.005
Fasttext from scratch w=6,0.306,0.044000000000000004,0.27899999999999997,0.038,0.254,0.035,0.16899999999999998,0.022000000000000002,0.141,0.021,0.133,0.02,0.42700000000000005,0.008,0.366,0.006999999999999999,0.299,0.006,0.251,0.005,0.22899999999999998,0.005,0.214,0.005
Fasttext from scratch w=8,0.312,0.044000000000000004,0.282,0.038,0.256,0.035,0.168,0.022000000000000002,0.14300000000000002,0.021,0.134,0.02,0.428,0.008,0.369,0.006999999999999999,0.299,0.006,0.253,0.005,0.23,0.005,0.215,0.005
Fasttext from scratch w=10,0.304,0.042,0.27899999999999997,0.038,0.255,0.035,0.17,0.022000000000000002,0.14400000000000002,0.021,0.135,0.02,0.42700000000000005,0.008,0.368,0.006999999999999999,0.298,0.006,0.253,0.005,0.23,0.005,0.215,0.005
Fasttext from scratch w=15,0.298,0.043,0.278,0.038,0.264,0.036000000000000004,0.172,0.022000000000000002,0.145,0.021,0.13699999999999998,0.02,0.423,0.008,0.363,0.006999999999999999,0.295,0.006,0.25,0.005,0.23,0.005,0.212,0.005
Fasttext from scratch w=20,0.297,0.042,0.278,0.038,0.263,0.036000000000000004,0.16699999999999998,0.021,0.142,0.02,0.131,0.019,0.415,0.008,0.35600000000000004,0.006999999999999999,0.28800000000000003,0.006,0.245,0.005,0.221,0.005,0.207,0.005
Fasttext from scratch w=30,0.297,0.042,0.272,0.038,0.257,0.036000000000000004,0.165,0.021,0.142,0.02,0.131,0.019,0.40700000000000003,0.008,0.349,0.006999999999999999,0.282,0.006,0.239,0.005,0.215,0.005,0.20199999999999999,0.005
Fasttext from scratch w=40,0.293,0.043,0.275,0.039,0.26,0.036000000000000004,0.166,0.021,0.142,0.02,0.132,0.019,0.40299999999999997,0.008,0.34600000000000003,0.006999999999999999,0.27899999999999997,0.006,0.237,0.005,0.212,0.005,0.2,0.005
Fasttext from scratch w=50,0.287,0.043,0.276,0.039,0.259,0.036000000000000004,0.166,0.021,0.14,0.02,0.132,0.019,0.406,0.008,0.34600000000000003,0.006999999999999999,0.27899999999999997,0.006,0.237,0.005,0.213,0.005,0.201,0.005
