,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
prf nrd=150.00 net=200.00 ew=0.00,0.246,0.044,0.237,0.041,0.233,0.038,0.151,0.023,0.134,0.022,0.122,0.021,0.174,0.007,0.156,0.006,0.137,0.005,0.11,0.003,0.091,0.003,0.082,0.003
prf nrd=150.00 net=200.00 ew=0.10,0.26,0.045,0.249,0.041,0.237,0.038,0.156,0.023,0.138,0.022,0.126,0.021,0.218,0.007,0.191,0.006,0.163,0.005,0.131,0.004,0.11,0.003,0.101,0.003
prf nrd=150.00 net=200.00 ew=0.20,0.275,0.046,0.26,0.042,0.245,0.038,0.161,0.023,0.142,0.022,0.13,0.021,0.263,0.008,0.226,0.006,0.188,0.005,0.152,0.004,0.131,0.004,0.121,0.004
prf nrd=150.00 net=200.00 ew=0.30,0.288,0.046,0.273,0.042,0.252,0.038,0.165,0.023,0.146,0.022,0.135,0.021,0.304,0.008,0.258,0.007,0.21,0.006,0.172,0.004,0.151,0.004,0.14,0.004
prf nrd=150.00 net=200.00 ew=0.40,0.3,0.046,0.282,0.041,0.26,0.038,0.168,0.023,0.15,0.022,0.137,0.021,0.337,0.008,0.285,0.007,0.231,0.006,0.19,0.004,0.169,0.004,0.157,0.004
prf nrd=150.00 net=200.00 ew=0.50,0.308,0.045,0.291,0.041,0.263,0.038,0.173,0.022,0.152,0.022,0.14,0.021,0.363,0.008,0.309,0.007,0.248,0.006,0.207,0.004,0.185,0.005,0.173,0.004
prf nrd=150.00 net=200.00 ew=0.60,0.32,0.045,0.293,0.041,0.27,0.038,0.177,0.022,0.155,0.022,0.142,0.021,0.386,0.008,0.328,0.007,0.264,0.006,0.221,0.005,0.199,0.005,0.186,0.004
prf nrd=150.00 net=200.00 ew=0.70,0.322,0.044,0.293,0.04,0.272,0.037,0.184,0.023,0.16,0.022,0.148,0.022,0.405,0.009,0.344,0.007,0.276,0.006,0.233,0.005,0.211,0.005,0.197,0.005
prf nrd=150.00 net=200.00 ew=0.80,0.319,0.044,0.295,0.04,0.272,0.036,0.186,0.023,0.16,0.022,0.149,0.021,0.418,0.009,0.358,0.007,0.288,0.006,0.243,0.005,0.221,0.005,0.207,0.005
prf nrd=150.00 net=200.00 ew=0.90,0.322,0.044,0.295,0.04,0.271,0.036,0.186,0.023,0.16,0.022,0.148,0.021,0.428,0.009,0.368,0.007,0.297,0.006,0.252,0.005,0.23,0.005,0.215,0.005
prf nrd=150.00 net=200.00 ew=1.00,0.317,0.044,0.293,0.039,0.268,0.035,0.185,0.022,0.159,0.021,0.147,0.02,0.437,0.009,0.376,0.007,0.305,0.006,0.258,0.005,0.236,0.005,0.221,0.005
