,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
prf nrd=150.00 net=200.00 ew=0.00,0.24600000000000002,0.044000000000000004,0.237,0.040999999999999995,0.233,0.038,0.151,0.023,0.134,0.022000000000000002,0.122,0.021,0.174,0.006999999999999999,0.156,0.006,0.13699999999999998,0.005,0.11,0.003,0.091,0.003,0.08199999999999999,0.003
prf nrd=150.00 net=200.00 ew=0.10,0.26,0.045,0.249,0.040999999999999995,0.237,0.038,0.156,0.023,0.138,0.022000000000000002,0.126,0.021,0.218,0.006999999999999999,0.191,0.006,0.163,0.005,0.131,0.004,0.11,0.003,0.10099999999999999,0.003
prf nrd=150.00 net=200.00 ew=0.20,0.275,0.046,0.26,0.042,0.245,0.038,0.161,0.023,0.142,0.022000000000000002,0.13,0.021,0.263,0.008,0.226,0.006,0.188,0.005,0.152,0.004,0.131,0.004,0.121,0.004
prf nrd=150.00 net=200.00 ew=0.30,0.28800000000000003,0.046,0.273,0.042,0.252,0.038,0.165,0.023,0.146,0.022000000000000002,0.135,0.021,0.304,0.008,0.258,0.006999999999999999,0.21,0.006,0.172,0.004,0.151,0.004,0.14,0.004
prf nrd=150.00 net=200.00 ew=0.40,0.3,0.046,0.282,0.040999999999999995,0.26,0.038,0.168,0.023,0.15,0.022000000000000002,0.13699999999999998,0.021,0.337,0.008,0.285,0.006999999999999999,0.231,0.006,0.19,0.004,0.16899999999999998,0.004,0.157,0.004
prf nrd=150.00 net=200.00 ew=0.50,0.308,0.045,0.29100000000000004,0.040999999999999995,0.263,0.038,0.17300000000000001,0.022000000000000002,0.152,0.022000000000000002,0.14,0.021,0.363,0.008,0.309,0.006999999999999999,0.248,0.006,0.207,0.004,0.185,0.005,0.17300000000000001,0.004
prf nrd=150.00 net=200.00 ew=0.60,0.32,0.045,0.293,0.040999999999999995,0.27,0.038,0.177,0.022000000000000002,0.155,0.022000000000000002,0.142,0.021,0.386,0.008,0.32799999999999996,0.006999999999999999,0.264,0.006,0.221,0.005,0.19899999999999998,0.005,0.18600000000000003,0.004
prf nrd=150.00 net=200.00 ew=0.70,0.322,0.044000000000000004,0.293,0.04,0.272,0.037000000000000005,0.184,0.023,0.16,0.022000000000000002,0.14800000000000002,0.022000000000000002,0.405,0.009000000000000001,0.344,0.006999999999999999,0.276,0.006,0.233,0.005,0.21100000000000002,0.005,0.19699999999999998,0.005
prf nrd=150.00 net=200.00 ew=0.80,0.319,0.044000000000000004,0.295,0.04,0.272,0.036000000000000004,0.18600000000000003,0.023,0.16,0.022000000000000002,0.149,0.021,0.418,0.009000000000000001,0.358,0.006999999999999999,0.28800000000000003,0.006,0.243,0.005,0.221,0.005,0.207,0.005
prf nrd=150.00 net=200.00 ew=0.90,0.322,0.044000000000000004,0.295,0.04,0.271,0.036000000000000004,0.18600000000000003,0.023,0.16,0.022000000000000002,0.14800000000000002,0.021,0.428,0.009000000000000001,0.368,0.006999999999999999,0.297,0.006,0.252,0.005,0.23,0.005,0.215,0.005
prf nrd=150.00 net=200.00 ew=1.00,0.317,0.044000000000000004,0.293,0.039,0.268,0.035,0.185,0.022000000000000002,0.159,0.021,0.147,0.02,0.43700000000000006,0.009000000000000001,0.376,0.006999999999999999,0.305,0.006,0.258,0.005,0.23600000000000002,0.005,0.221,0.005
