,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
BM25 b=0.00,0.287,0.041,0.238,0.034,0.202,0.03,0.072,0.012,0.039,0.008,0.055,0.009,0.621,0.008,0.567,0.008,0.482,0.007,0.454,0.006,0.452,0.007,0.436,0.007
BM25 b=0.10,0.292,0.041,0.244,0.034,0.209,0.031,0.073,0.012,0.039,0.008,0.056,0.01,0.635,0.008,0.582,0.008,0.493,0.007,0.468,0.006,0.467,0.007,0.452,0.007
BM25 b=0.20,0.29,0.041,0.246,0.034,0.209,0.031,0.073,0.012,0.04,0.008,0.056,0.01,0.639,0.008,0.586,0.008,0.495,0.007,0.47,0.006,0.469,0.007,0.454,0.007
BM25 b=0.30,0.291,0.041,0.247,0.035,0.211,0.031,0.073,0.012,0.04,0.008,0.056,0.01,0.643,0.008,0.589,0.008,0.497,0.007,0.471,0.006,0.471,0.007,0.456,0.007
BM25 b=0.40,0.292,0.041,0.247,0.034,0.212,0.031,0.073,0.012,0.04,0.008,0.056,0.01,0.645,0.008,0.591,0.008,0.499,0.007,0.473,0.006,0.473,0.007,0.457,0.007
BM25 b=0.50,0.295,0.041,0.245,0.034,0.213,0.031,0.075,0.012,0.04,0.008,0.057,0.01,0.649,0.008,0.593,0.008,0.5,0.007,0.474,0.006,0.475,0.007,0.459,0.007
BM25 b=0.60,0.298,0.041,0.25,0.035,0.214,0.031,0.073,0.012,0.04,0.008,0.056,0.01,0.652,0.008,0.595,0.008,0.501,0.007,0.475,0.006,0.476,0.007,0.46,0.007
BM25 b=0.70,0.298,0.042,0.253,0.036,0.213,0.031,0.073,0.012,0.04,0.008,0.056,0.01,0.652,0.008,0.595,0.008,0.501,0.007,0.475,0.006,0.476,0.007,0.461,0.007
BM25 b=0.80,0.289,0.041,0.254,0.036,0.211,0.031,0.074,0.012,0.04,0.008,0.057,0.01,0.651,0.008,0.596,0.008,0.501,0.007,0.476,0.006,0.477,0.007,0.461,0.007
BM25 b=0.90,0.288,0.041,0.252,0.035,0.209,0.03,0.074,0.012,0.04,0.008,0.057,0.01,0.651,0.008,0.595,0.008,0.501,0.007,0.476,0.006,0.476,0.007,0.461,0.007
BM25 b=1.00,0.288,0.041,0.253,0.035,0.208,0.03,0.073,0.012,0.04,0.008,0.056,0.01,0.65,0.008,0.593,0.008,0.5,0.007,0.476,0.006,0.475,0.007,0.46,0.007
