,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
Finetune epoch=5,0.296,0.043,0.286,0.039,0.266,0.035,0.179,0.022,0.153,0.021,0.142,0.02,0.342,0.008,0.289,0.007,0.235,0.006,0.193,0.004,0.166,0.004,0.157,0.004
Finetune epoch=10,0.299,0.043,0.291,0.039,0.266,0.035,0.182,0.022,0.154,0.021,0.143,0.02,0.362,0.008,0.307,0.007,0.25,0.006,0.207,0.004,0.181,0.004,0.169,0.004
Finetune epoch=15,0.31,0.043,0.287,0.039,0.262,0.034,0.179,0.022,0.152,0.021,0.142,0.02,0.374,0.008,0.318,0.007,0.26,0.006,0.215,0.004,0.189,0.004,0.178,0.004
Finetune epoch=20,0.305,0.043,0.288,0.039,0.262,0.035,0.18,0.022,0.153,0.021,0.143,0.02,0.381,0.008,0.325,0.007,0.263,0.006,0.22,0.004,0.194,0.004,0.182,0.004
Finetune epoch=25,0.308,0.044,0.286,0.039,0.265,0.035,0.178,0.022,0.151,0.021,0.141,0.02,0.387,0.008,0.33,0.007,0.268,0.006,0.224,0.004,0.198,0.004,0.186,0.004
Finetune epoch=30,0.308,0.043,0.286,0.039,0.265,0.035,0.177,0.022,0.151,0.021,0.141,0.02,0.391,0.008,0.332,0.007,0.27,0.006,0.226,0.004,0.201,0.004,0.188,0.004
Finetune epoch=35,0.311,0.044,0.282,0.039,0.263,0.035,0.177,0.022,0.15,0.021,0.141,0.02,0.393,0.008,0.336,0.007,0.272,0.006,0.228,0.004,0.202,0.004,0.19,0.004
Finetune epoch=40,0.311,0.043,0.281,0.038,0.259,0.035,0.176,0.022,0.149,0.021,0.14,0.02,0.397,0.008,0.337,0.007,0.273,0.006,0.229,0.004,0.203,0.004,0.19,0.004
Finetune epoch=45,0.309,0.044,0.283,0.038,0.26,0.034,0.177,0.022,0.149,0.021,0.14,0.02,0.4,0.008,0.339,0.007,0.275,0.006,0.23,0.004,0.205,0.004,0.192,0.004
Finetune epoch=50,0.306,0.043,0.278,0.038,0.26,0.035,0.175,0.022,0.148,0.021,0.138,0.02,0.402,0.008,0.341,0.007,0.276,0.006,0.231,0.004,0.206,0.004,0.193,0.004
