,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
qlm jm w=0.000,0.012,0.008,0.011,0.008,0.01,0.008,0.01,0.004,0.01,0.003,0.005,0.002,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.0
qlm jm w=0.010,0.259,0.039,0.23,0.035,0.186,0.029,0.076,0.012,0.049,0.008,0.057,0.009,0.568,0.009,0.513,0.008,0.43,0.007,0.402,0.007,0.401,0.007,0.383,0.007
qlm jm w=0.020,0.264,0.04,0.239,0.035,0.195,0.03,0.077,0.012,0.05,0.009,0.058,0.01,0.599,0.009,0.54,0.008,0.45,0.007,0.421,0.007,0.42,0.007,0.403,0.007
qlm jm w=0.030,0.274,0.041,0.243,0.035,0.198,0.03,0.077,0.012,0.05,0.009,0.058,0.01,0.616,0.009,0.556,0.008,0.462,0.007,0.432,0.007,0.431,0.007,0.415,0.007
qlm jm w=0.040,0.277,0.041,0.247,0.035,0.202,0.03,0.078,0.012,0.05,0.009,0.059,0.01,0.626,0.009,0.566,0.008,0.47,0.007,0.441,0.006,0.439,0.007,0.423,0.007
qlm jm w=0.050,0.282,0.04,0.248,0.035,0.204,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.633,0.008,0.572,0.008,0.476,0.007,0.447,0.006,0.445,0.007,0.429,0.007
qlm jm w=0.060,0.284,0.041,0.25,0.035,0.205,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.638,0.008,0.577,0.008,0.481,0.007,0.452,0.006,0.449,0.007,0.434,0.007
qlm jm w=0.070,0.286,0.041,0.251,0.035,0.206,0.03,0.078,0.012,0.05,0.009,0.059,0.01,0.641,0.008,0.581,0.008,0.484,0.007,0.455,0.006,0.453,0.007,0.438,0.007
qlm jm w=0.080,0.285,0.041,0.252,0.035,0.207,0.031,0.079,0.012,0.05,0.009,0.059,0.01,0.643,0.008,0.584,0.008,0.487,0.007,0.458,0.006,0.456,0.007,0.441,0.007
