,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
BM25 k1=0.10,0.293,0.041,0.246,0.034,0.214,0.031,0.071,0.012,0.04,0.008,0.055,0.01,0.647,0.008,0.592,0.008,0.498,0.007,0.472,0.006,0.473,0.007,0.458,0.007
BM25 k1=0.20,0.295,0.041,0.246,0.034,0.213,0.031,0.072,0.012,0.04,0.008,0.056,0.01,0.648,0.008,0.593,0.008,0.499,0.007,0.473,0.006,0.474,0.007,0.458,0.007
BM25 k1=0.30,0.295,0.041,0.245,0.034,0.213,0.031,0.073,0.012,0.04,0.008,0.056,0.01,0.649,0.008,0.593,0.008,0.5,0.007,0.474,0.006,0.474,0.007,0.459,0.007
BM25 k1=0.40,0.295,0.041,0.245,0.034,0.213,0.031,0.075,0.012,0.04,0.008,0.057,0.01,0.649,0.008,0.593,0.008,0.5,0.007,0.474,0.006,0.475,0.007,0.459,0.007
BM25 k1=0.50,0.295,0.041,0.247,0.034,0.213,0.031,0.076,0.012,0.041,0.008,0.058,0.01,0.65,0.008,0.594,0.008,0.501,0.007,0.474,0.006,0.474,0.007,0.459,0.007
BM25 k1=0.60,0.297,0.041,0.247,0.034,0.213,0.031,0.076,0.012,0.041,0.008,0.058,0.01,0.65,0.008,0.594,0.008,0.501,0.007,0.474,0.006,0.474,0.007,0.458,0.007
BM25 k1=0.70,0.298,0.042,0.248,0.034,0.213,0.031,0.076,0.012,0.041,0.008,0.058,0.01,0.651,0.008,0.595,0.008,0.501,0.007,0.473,0.006,0.473,0.007,0.457,0.007
BM25 k1=0.80,0.298,0.042,0.247,0.034,0.213,0.031,0.077,0.012,0.041,0.008,0.058,0.01,0.651,0.008,0.594,0.008,0.5,0.007,0.472,0.006,0.472,0.007,0.456,0.007
BM25 k1=0.90,0.297,0.042,0.248,0.034,0.213,0.031,0.077,0.012,0.041,0.008,0.059,0.01,0.651,0.008,0.594,0.008,0.5,0.007,0.471,0.006,0.471,0.007,0.454,0.007
BM25 k1=1.00,0.297,0.042,0.248,0.034,0.212,0.031,0.077,0.012,0.041,0.008,0.059,0.01,0.651,0.008,0.594,0.008,0.499,0.007,0.47,0.006,0.469,0.007,0.453,0.007
BM25 k1=1.10,0.298,0.042,0.246,0.034,0.212,0.031,0.077,0.012,0.041,0.008,0.059,0.01,0.651,0.008,0.594,0.008,0.498,0.007,0.469,0.006,0.467,0.007,0.451,0.007
BM25 k1=1.20,0.298,0.042,0.246,0.034,0.213,0.031,0.077,0.012,0.041,0.008,0.059,0.01,0.651,0.008,0.593,0.008,0.497,0.007,0.467,0.006,0.465,0.007,0.449,0.007
BM25 k1=1.30,0.298,0.042,0.248,0.034,0.213,0.031,0.077,0.012,0.041,0.008,0.059,0.01,0.651,0.008,0.592,0.008,0.496,0.007,0.465,0.006,0.463,0.007,0.446,0.007
BM25 k1=1.40,0.298,0.042,0.248,0.035,0.213,0.031,0.078,0.012,0.041,0.008,0.059,0.01,0.65,0.008,0.591,0.008,0.495,0.007,0.462,0.006,0.461,0.007,0.444,0.007
BM25 k1=1.50,0.298,0.042,0.248,0.035,0.213,0.031,0.078,0.012,0.041,0.008,0.059,0.01,0.649,0.008,0.59,0.008,0.493,0.007,0.461,0.006,0.459,0.007,0.442,0.007
BM25 k1=1.60,0.298,0.042,0.247,0.035,0.211,0.031,0.078,0.012,0.041,0.008,0.059,0.01,0.649,0.008,0.589,0.008,0.492,0.007,0.459,0.006,0.457,0.007,0.439,0.007
BM25 k1=1.70,0.298,0.041,0.248,0.035,0.212,0.031,0.078,0.012,0.041,0.008,0.059,0.01,0.648,0.008,0.587,0.008,0.49,0.007,0.457,0.006,0.455,0.007,0.437,0.007
BM25 k1=1.80,0.298,0.041,0.247,0.035,0.211,0.031,0.078,0.012,0.041,0.008,0.059,0.01,0.647,0.008,0.586,0.008,0.489,0.007,0.455,0.006,0.453,0.007,0.435,0.007
BM25 k1=1.90,0.297,0.041,0.249,0.035,0.21,0.031,0.078,0.012,0.041,0.008,0.059,0.01,0.646,0.008,0.585,0.008,0.488,0.007,0.453,0.006,0.45,0.007,0.433,0.007
BM25 k1=2.00,0.297,0.042,0.248,0.035,0.209,0.031,0.078,0.012,0.041,0.008,0.059,0.01,0.645,0.008,0.584,0.008,0.486,0.007,0.451,0.006,0.448,0.007,0.431,0.007
