,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
sent2vec epoch=6,0.279,0.042,0.245,0.038,0.226,0.035,0.123,0.017,0.093,0.015,0.093,0.014,0.512,0.009,0.443,0.008,0.361,0.007,0.312,0.005,0.303,0.006,0.279,0.006
sent2vec epoch=12,0.272,0.042,0.25,0.039,0.219,0.034,0.105,0.015,0.075,0.012,0.079,0.012,0.556,0.009,0.485,0.008,0.397,0.007,0.349,0.006,0.343,0.006,0.319,0.006
sent2vec epoch=18,0.272,0.042,0.239,0.037,0.216,0.034,0.101,0.014,0.069,0.011,0.075,0.011,0.562,0.009,0.492,0.008,0.404,0.007,0.355,0.006,0.349,0.006,0.326,0.006
sent2vec epoch=24,0.271,0.041,0.238,0.037,0.217,0.034,0.098,0.013,0.067,0.011,0.073,0.011,0.562,0.009,0.493,0.008,0.406,0.007,0.356,0.006,0.349,0.006,0.327,0.006
sent2vec epoch=30,0.264,0.041,0.24,0.037,0.214,0.034,0.096,0.013,0.065,0.011,0.072,0.011,0.561,0.009,0.493,0.008,0.404,0.007,0.355,0.006,0.347,0.006,0.326,0.006
sent2vec epoch=36,0.274,0.041,0.242,0.037,0.212,0.033,0.097,0.013,0.065,0.01,0.073,0.011,0.558,0.009,0.489,0.008,0.402,0.007,0.352,0.006,0.344,0.006,0.323,0.006
sent2vec epoch=42,0.265,0.04,0.239,0.037,0.212,0.034,0.096,0.013,0.064,0.01,0.072,0.011,0.554,0.009,0.487,0.008,0.4,0.007,0.35,0.006,0.341,0.006,0.321,0.006
sent2vec epoch=48,0.263,0.04,0.238,0.037,0.212,0.033,0.096,0.013,0.064,0.01,0.072,0.011,0.552,0.009,0.485,0.008,0.398,0.007,0.348,0.006,0.339,0.006,0.319,0.006
sent2vec epoch=54,0.263,0.04,0.237,0.037,0.211,0.033,0.097,0.013,0.065,0.01,0.072,0.011,0.552,0.009,0.483,0.008,0.397,0.007,0.347,0.006,0.338,0.006,0.317,0.006
sent2vec epoch=60,0.265,0.041,0.238,0.037,0.211,0.033,0.097,0.013,0.065,0.01,0.072,0.011,0.55,0.009,0.483,0.008,0.396,0.007,0.346,0.006,0.337,0.006,0.317,0.006
