,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
sent2vec epoch=12,0.271,0.043,0.242,0.037000000000000005,0.21899999999999997,0.034,0.115,0.016,0.084,0.013000000000000001,0.086,0.013000000000000001,0.532,0.009000000000000001,0.45899999999999996,0.008,0.374,0.006999999999999999,0.32299999999999995,0.005,0.316,0.006,0.292,0.006
sent2vec epoch=24,0.275,0.042,0.245,0.037000000000000005,0.21899999999999997,0.033,0.105,0.013999999999999999,0.073,0.011000000000000001,0.078,0.012,0.565,0.009000000000000001,0.494,0.008,0.405,0.006999999999999999,0.355,0.006,0.349,0.006,0.326,0.006
sent2vec epoch=36,0.268,0.040999999999999995,0.23800000000000002,0.036000000000000004,0.215,0.033,0.1,0.013000000000000001,0.067,0.011000000000000001,0.07400000000000001,0.011000000000000001,0.5710000000000001,0.009000000000000001,0.5,0.008,0.41,0.006999999999999999,0.36200000000000004,0.006,0.35600000000000004,0.006,0.33299999999999996,0.006
sent2vec epoch=48,0.26899999999999996,0.040999999999999995,0.237,0.037000000000000005,0.21100000000000002,0.033,0.099,0.013000000000000001,0.066,0.01,0.073,0.011000000000000001,0.5710000000000001,0.009000000000000001,0.501,0.008,0.41100000000000003,0.006999999999999999,0.363,0.006,0.35700000000000004,0.006,0.33399999999999996,0.006
sent2vec epoch=60,0.268,0.040999999999999995,0.24100000000000002,0.037000000000000005,0.213,0.033,0.098,0.013000000000000001,0.066,0.011000000000000001,0.073,0.011000000000000001,0.5670000000000001,0.009000000000000001,0.5,0.008,0.41,0.006999999999999999,0.36200000000000004,0.006,0.355,0.006,0.33299999999999996,0.006
sent2vec epoch=72,0.271,0.040999999999999995,0.23800000000000002,0.037000000000000005,0.213,0.033,0.098,0.013000000000000001,0.065,0.01,0.07200000000000001,0.011000000000000001,0.5670000000000001,0.009000000000000001,0.49700000000000005,0.008,0.409,0.006999999999999999,0.36,0.006,0.353,0.006,0.331,0.006
sent2vec epoch=84,0.266,0.040999999999999995,0.23600000000000002,0.036000000000000004,0.209,0.033,0.098,0.013000000000000001,0.065,0.01,0.07200000000000001,0.011000000000000001,0.565,0.009000000000000001,0.496,0.008,0.406,0.006999999999999999,0.358,0.006,0.35100000000000003,0.006,0.32899999999999996,0.006
sent2vec epoch=96,0.267,0.040999999999999995,0.23800000000000002,0.036000000000000004,0.21,0.033,0.09699999999999999,0.013000000000000001,0.065,0.01,0.07200000000000001,0.011000000000000001,0.563,0.009000000000000001,0.494,0.008,0.405,0.006999999999999999,0.35700000000000004,0.006,0.35,0.006,0.32799999999999996,0.006
sent2vec epoch=108,0.264,0.04,0.23800000000000002,0.037000000000000005,0.21100000000000002,0.033,0.09699999999999999,0.013000000000000001,0.065,0.01,0.07200000000000001,0.011000000000000001,0.561,0.009000000000000001,0.493,0.008,0.40399999999999997,0.006999999999999999,0.35600000000000004,0.006,0.348,0.006,0.327,0.006
sent2vec epoch=120,0.264,0.04,0.239,0.037000000000000005,0.21100000000000002,0.033,0.09699999999999999,0.013000000000000001,0.065,0.01,0.07200000000000001,0.011000000000000001,0.561,0.009000000000000001,0.493,0.008,0.40299999999999997,0.006999999999999999,0.35600000000000004,0.006,0.348,0.006,0.327,0.006
