,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
sent2vec epoch=6,0.272,0.042,0.251,0.038,0.23,0.035,0.125,0.017,0.094,0.015,0.095,0.014,0.519,0.009,0.451,0.008,0.367,0.007,0.316,0.005,0.306,0.006,0.283,0.006
sent2vec epoch=12,0.282,0.043,0.252,0.038,0.219,0.033,0.108,0.015,0.077,0.012,0.081,0.012,0.588,0.009,0.514,0.008,0.417,0.007,0.363,0.005,0.354,0.006,0.333,0.006
sent2vec epoch=18,0.288,0.042,0.246,0.037,0.216,0.033,0.099,0.014,0.069,0.011,0.073,0.011,0.603,0.009,0.525,0.008,0.425,0.007,0.368,0.006,0.358,0.006,0.339,0.006
sent2vec epoch=24,0.288,0.043,0.242,0.036,0.208,0.032,0.093,0.013,0.065,0.011,0.07,0.011,0.606,0.009,0.527,0.008,0.427,0.007,0.368,0.006,0.356,0.006,0.339,0.006
sent2vec epoch=30,0.282,0.043,0.246,0.037,0.204,0.032,0.092,0.013,0.064,0.011,0.068,0.011,0.608,0.009,0.527,0.008,0.425,0.007,0.366,0.006,0.354,0.006,0.338,0.006
sent2vec epoch=36,0.284,0.043,0.242,0.036,0.205,0.032,0.091,0.013,0.064,0.011,0.068,0.011,0.605,0.009,0.526,0.008,0.423,0.007,0.364,0.006,0.351,0.006,0.336,0.006
sent2vec epoch=42,0.282,0.043,0.24,0.037,0.205,0.033,0.09,0.013,0.064,0.011,0.068,0.011,0.606,0.009,0.525,0.008,0.422,0.007,0.362,0.006,0.349,0.006,0.334,0.006
sent2vec epoch=48,0.281,0.042,0.235,0.036,0.202,0.032,0.09,0.013,0.063,0.011,0.067,0.011,0.604,0.009,0.525,0.008,0.421,0.007,0.361,0.006,0.349,0.006,0.334,0.006
sent2vec epoch=54,0.277,0.042,0.235,0.036,0.2,0.032,0.09,0.013,0.064,0.011,0.068,0.011,0.603,0.009,0.525,0.008,0.42,0.007,0.361,0.006,0.348,0.006,0.333,0.006
sent2vec epoch=60,0.276,0.042,0.238,0.036,0.201,0.032,0.09,0.013,0.064,0.011,0.068,0.011,0.604,0.009,0.524,0.008,0.42,0.007,0.361,0.006,0.348,0.006,0.333,0.006
