,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
ontology expansion wrapper w=0.0,0.438,0.041,0.416,0.038,0.381,0.036,0.255,0.022,0.22,0.021,0.206,0.021,0.293,0.008,0.253,0.007,0.208,0.006,0.171,0.004,0.146,0.004,0.138,0.004
ontology expansion wrapper w=0.05,0.452,0.042,0.421,0.038,0.388,0.036,0.258,0.022,0.223,0.021,0.208,0.021,0.302,0.008,0.262,0.007,0.216,0.006,0.177,0.004,0.151,0.004,0.142,0.004
ontology expansion wrapper w=0.1,0.463,0.043,0.426,0.038,0.389,0.036,0.259,0.022,0.226,0.021,0.211,0.021,0.311,0.008,0.269,0.007,0.222,0.006,0.182,0.004,0.156,0.004,0.147,0.004
ontology expansion wrapper w=0.15,0.469,0.043,0.431,0.039,0.392,0.037,0.26,0.022,0.228,0.021,0.213,0.021,0.32,0.008,0.277,0.007,0.228,0.006,0.187,0.004,0.16,0.004,0.152,0.004
ontology expansion wrapper w=0.2,0.476,0.043,0.434,0.039,0.393,0.037,0.262,0.022,0.231,0.022,0.215,0.021,0.328,0.008,0.285,0.007,0.234,0.006,0.192,0.004,0.165,0.004,0.156,0.004
ontology expansion wrapper w=0.25,0.476,0.043,0.438,0.04,0.401,0.037,0.264,0.022,0.233,0.022,0.217,0.021,0.337,0.008,0.293,0.007,0.241,0.006,0.197,0.004,0.17,0.004,0.161,0.004
ontology expansion wrapper w=0.3,0.474,0.043,0.445,0.04,0.402,0.037,0.264,0.022,0.233,0.022,0.217,0.021,0.347,0.008,0.301,0.007,0.247,0.006,0.202,0.004,0.175,0.004,0.165,0.004
ontology expansion wrapper w=0.35,0.471,0.044,0.448,0.04,0.406,0.037,0.266,0.022,0.235,0.022,0.219,0.021,0.356,0.008,0.308,0.007,0.252,0.006,0.207,0.004,0.18,0.004,0.17,0.004
ontology expansion wrapper w=0.4,0.479,0.044,0.447,0.04,0.406,0.037,0.263,0.022,0.234,0.022,0.218,0.021,0.365,0.008,0.315,0.007,0.258,0.006,0.211,0.004,0.184,0.004,0.174,0.004
ontology expansion wrapper w=0.45,0.476,0.044,0.448,0.04,0.405,0.038,0.265,0.022,0.233,0.022,0.218,0.021,0.373,0.008,0.32,0.007,0.262,0.006,0.215,0.004,0.189,0.004,0.178,0.004
ontology expansion wrapper w=0.5,0.488,0.044,0.444,0.04,0.399,0.038,0.264,0.022,0.232,0.022,0.217,0.021,0.377,0.008,0.325,0.007,0.266,0.006,0.219,0.004,0.192,0.004,0.181,0.004
ontology expansion wrapper w=0.55,0.481,0.045,0.438,0.04,0.397,0.038,0.261,0.022,0.23,0.022,0.214,0.021,0.381,0.008,0.328,0.007,0.268,0.006,0.221,0.004,0.195,0.004,0.183,0.004
ontology expansion wrapper w=0.6,0.475,0.045,0.428,0.04,0.39,0.037,0.259,0.022,0.227,0.022,0.211,0.021,0.384,0.008,0.331,0.007,0.27,0.006,0.223,0.004,0.197,0.004,0.185,0.004
ontology expansion wrapper w=0.65,0.468,0.045,0.42,0.04,0.384,0.037,0.256,0.022,0.223,0.022,0.208,0.021,0.385,0.008,0.333,0.007,0.27,0.006,0.225,0.004,0.198,0.005,0.186,0.004
ontology expansion wrapper w=0.7,0.448,0.044,0.411,0.04,0.378,0.037,0.251,0.022,0.219,0.022,0.204,0.021,0.385,0.008,0.332,0.007,0.27,0.006,0.224,0.004,0.198,0.005,0.186,0.004
ontology expansion wrapper w=0.75,0.438,0.044,0.406,0.04,0.368,0.037,0.246,0.022,0.214,0.022,0.2,0.021,0.383,0.008,0.33,0.007,0.269,0.006,0.224,0.004,0.198,0.005,0.186,0.004
ontology expansion wrapper w=0.8,0.428,0.044,0.392,0.039,0.359,0.037,0.24,0.022,0.208,0.021,0.195,0.021,0.381,0.008,0.328,0.007,0.267,0.006,0.222,0.004,0.197,0.005,0.185,0.004
ontology expansion wrapper w=0.85,0.416,0.043,0.385,0.039,0.349,0.036,0.234,0.022,0.201,0.021,0.189,0.021,0.378,0.008,0.325,0.007,0.265,0.006,0.221,0.004,0.196,0.005,0.183,0.004
ontology expansion wrapper w=0.9,0.399,0.042,0.373,0.039,0.336,0.036,0.229,0.022,0.194,0.021,0.184,0.021,0.375,0.008,0.322,0.007,0.262,0.006,0.219,0.004,0.194,0.005,0.182,0.004
ontology expansion wrapper w=0.95,0.383,0.042,0.363,0.039,0.329,0.036,0.222,0.022,0.187,0.021,0.178,0.02,0.371,0.008,0.318,0.007,0.259,0.006,0.217,0.004,0.192,0.005,0.18,0.004
ontology expansion wrapper w=1.0,0.371,0.042,0.352,0.039,0.318,0.036,0.215,0.021,0.18,0.021,0.171,0.02,0.366,0.008,0.315,0.007,0.257,0.006,0.214,0.004,0.19,0.005,0.178,0.004
