,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
prf nrd=150.00 net=200.00 ew=0.00,0.325,0.047,0.316,0.045,0.295,0.042,0.188,0.023,0.162,0.023,0.151,0.022,0.168,0.007,0.152,0.006,0.134,0.005,0.107,0.003,0.088,0.003,0.08,0.003
prf nrd=150.00 net=200.00 ew=0.05,0.331,0.047,0.321,0.045,0.3,0.041,0.191,0.023,0.164,0.023,0.153,0.022,0.179,0.007,0.161,0.006,0.141,0.005,0.112,0.003,0.093,0.003,0.085,0.003
prf nrd=150.00 net=200.00 ew=0.10,0.339,0.047,0.326,0.044,0.303,0.041,0.193,0.023,0.166,0.023,0.155,0.022,0.192,0.007,0.17,0.006,0.148,0.005,0.118,0.004,0.098,0.003,0.09,0.003
prf nrd=150.00 net=200.00 ew=0.15,0.351,0.047,0.331,0.044,0.304,0.041,0.194,0.023,0.168,0.023,0.157,0.022,0.204,0.007,0.18,0.006,0.155,0.005,0.123,0.004,0.104,0.003,0.095,0.003
prf nrd=150.00 net=200.00 ew=0.20,0.355,0.047,0.338,0.044,0.311,0.041,0.195,0.023,0.17,0.022,0.158,0.022,0.216,0.007,0.19,0.006,0.162,0.005,0.129,0.004,0.109,0.004,0.101,0.003
prf nrd=150.00 net=200.00 ew=0.25,0.363,0.047,0.343,0.044,0.314,0.041,0.197,0.023,0.173,0.022,0.16,0.022,0.229,0.007,0.199,0.006,0.169,0.005,0.136,0.004,0.115,0.004,0.106,0.003
prf nrd=150.00 net=200.00 ew=0.30,0.361,0.047,0.344,0.044,0.318,0.041,0.203,0.024,0.178,0.023,0.166,0.023,0.242,0.008,0.209,0.006,0.177,0.006,0.142,0.004,0.121,0.004,0.112,0.004
prf nrd=150.00 net=200.00 ew=0.35,0.368,0.047,0.349,0.044,0.318,0.041,0.205,0.024,0.18,0.023,0.168,0.023,0.254,0.008,0.219,0.007,0.184,0.006,0.148,0.004,0.127,0.004,0.118,0.004
